Program,buy_date,cohort_start_date,cohort_name,days_to_start,month_sale,month_start
FS,3/01/2023,24/01/2023,spain-fs-pt-37,21,1,1
FS,2/01/2023,24/01/2023,spain-fs-pt-37,22,1,1
FS,26/01/2023,13/02/2023,spain-fs-pt-38,18,1,2
FS,26/01/2023,13/02/2023,spain-fs-pt-38,18,1,2
FS,24/01/2023,13/02/2023,spain-fs-pt-38,20,1,2
FS,20/01/2023,13/02/2023,spain-fs-pt-38,24,1,2
FS,12/01/2023,13/02/2023,spain-fs-pt-38,32,1,2
FS,9/01/2023,13/02/2023,spain-fs-pt-38,35,1,2
FS,3/01/2023,13/02/2023,spain-fs-pt-38,41,1,2
FS,23/02/2023,6/03/2023,spain-fs-pt-39,11,2,3
FS,13/02/2023,6/03/2023,spain-fs-pt-39,21,2,3
FS,6/02/2023,6/03/2023,spain-fs-pt-39,28,2,3
FS,31/01/2023,6/03/2023,spain-fs-pt-39,34,1,3
FS,30/01/2023,6/03/2023,spain-fs-pt-39,35,1,3
FS,30/01/2023,6/03/2023,spain-fs-pt-39,35,1,3
FS,30/01/2023,6/03/2023,spain-fs-pt-39,35,1,3
FS,27/01/2023,6/03/2023,spain-fs-pt-39,38,1,3
FS,26/01/2023,6/03/2023,spain-fs-pt-39,39,1,3
FS,4/01/2023,6/03/2023,spain-fs-pt-39,61,1,3
FS,9/03/2023,27/03/2023,spain-fs-pt-40,18,3,3
FS,7/03/2023,27/03/2023,spain-fs-pt-40,20,3,3
FS,28/02/2023,27/03/2023,spain-fs-pt-40,27,2,3
FS,27/02/2023,27/03/2023,spain-fs-pt-40,28,2,3
FS,24/02/2023,27/03/2023,spain-fs-pt-40,31,2,3
FS,20/02/2023,27/03/2023,spain-fs-pt-40,35,2,3
FS,16/02/2023,27/03/2023,spain-fs-pt-40,39,2,3
FS,16/02/2023,27/03/2023,spain-fs-pt-40,39,2,3
FS,27/01/2023,27/03/2023,spain-fs-pt-40,59,1,3
FS,16/01/2023,27/03/2023,spain-fs-pt-40,70,1,3
FS,11/04/2023,11/04/2023,spain-fs-pt-41,0,4,4
FS,11/04/2023,11/04/2023,spain-fs-pt-41,0,4,4
FS,31/03/2023,11/04/2023,spain-fs-pt-41,11,3,4
FS,28/03/2023,11/04/2023,spain-fs-pt-41,14,3,4
FS,3/03/2023,11/04/2023,spain-fs-pt-41,39,3,4
FS,28/02/2023,11/04/2023,spain-fs-pt-41,42,2,4
FS,28/02/2023,11/04/2023,spain-fs-pt-41,42,2,4
FS,5/01/2023,11/04/2023,spain-fs-pt-41,96,1,4
FS,11/04/2023,24/04/2023,spain-fs-pt-42,13,4,4
,,,,,,
FS,11/04/2023,24/04/2023,spain-fs-pt-42,13,4,4
FS,28/03/2023,24/04/2023,spain-fs-pt-42,27,3,4
FS,23/03/2023,24/04/2023,spain-fs-pt-42,32,3,4
FS,21/03/2023,24/04/2023,spain-fs-pt-42,34,3,4
FS,21/03/2023,24/04/2023,spain-fs-pt-42,34,3,4
FS,14/03/2023,24/04/2023,spain-fs-pt-42,41,3,4
FS,26/01/2023,24/04/2023,spain-fs-pt-42,88,1,4
,,,,,,
FS,22/03/2023,8/05/2023,spain-fs-pt-43,47,3,5
FS,3/03/2023,8/05/2023,spain-fs-pt-43,66,3,5
