Program,buy_date,cohort_start_date,day_sale,week_sale,month_sale,year_sale,day_start,week_start,month_start,year_start,days_to_start,week_dif,month_dif
FS,11/04/2023,11/04/2023,11,15,4,2023,11,15,4,2023,0,0,0
FS,11/04/2023,11/04/2023,11,15,4,2023,11,15,4,2023,0,0,0
FS,29/02/2024,4/03/2024,29,9,2,2024,4,10,3,2024,4,0,0
FS,23/02/2023,6/03/2023,23,8,2,2023,6,10,3,2023,11,1,0
FS,31/03/2023,11/04/2023,31,13,3,2023,11,15,4,2023,11,1,0
FS,13/07/2023,24/07/2023,13,28,7,2023,24,30,7,2023,11,1,0
FS,14/06/2023,26/06/2023,14,24,6,2023,26,26,6,2023,12,1,0
FS,30/11/2023,12/12/2023,30,48,11,2023,12,50,12,2023,12,1,0
DS,26/06/2024,8/07/2024,26,26,6,2024,8,28,7,2024,12,1,0
FS,11/04/2023,24/04/2023,11,15,4,2023,24,17,4,2023,13,1,0
FS,11/04/2023,24/04/2023,11,15,4,2023,24,17,4,2023,13,1,0
FS,11/07/2023,24/07/2023,11,28,7,2023,24,30,7,2023,13,1,0
FS,29/08/2023,11/09/2023,29,35,8,2023,11,37,9,2023,13,1,0
FS,14/02/2024,27/02/2024,14,7,2,2024,27,9,2,2024,13,1,0
FS,28/03/2023,11/04/2023,28,13,3,2023,11,15,4,2023,14,1,0
FS,8/05/2023,22/05/2023,8,19,5,2023,22,21,5,2023,14,1,0
FS,8/05/2023,22/05/2023,8,19,5,2023,22,21,5,2023,14,1,0
DS,4/09/2023,18/09/2023,4,36,9,2023,18,38,9,2023,14,2,0
FS,9/10/2023,23/10/2023,9,41,10,2023,23,43,10,2023,14,2,0
FS,18/03/2024,1/04/2024,18,12,3,2024,1,14,4,2024,14,2,0
FS,3/06/2024,17/06/2024,3,23,6,2024,17,25,6,2024,14,2,0
FS,23/09/2024,7/10/2024,23,39,9,2024,7,41,10,2024,14,2,0
FS,29/04/2024,14/05/2024,29,18,4,2024,14,20,5,2024,15,2,0
FS,5/05/2023,22/05/2023,5,18,5,2023,22,21,5,2023,17,2,0
FS,19/01/2024,5/02/2024,19,3,1,2024,5,6,2,2024,17,2,0
FS,17/05/2024,3/06/2024,17,20,5,2024,3,23,6,2024,17,2,0
FS,17/05/2024,3/06/2024,17,20,5,2024,3,23,6,2024,17,2,0
DS,21/06/2024,8/07/2024,21,25,6,2024,8,28,7,2024,17,2,0
DS,21/06/2024,8/07/2024,21,25,6,2024,8,28,7,2024,17,2,0
DS,21/06/2024,8/07/2024,21,25,6,2024,8,28,7,2024,17,2,0
CS,8/11/2024,25/11/2024,8,45,11,2024,25,48,11,2024,17,2,0
FS,26/01/2023,13/02/2023,26,4,1,2023,13,7,2,2023,18,2,0
FS,26/01/2023,13/02/2023,26,4,1,2023,13,7,2,2023,18,2,0
FS,9/03/2023,27/03/2023,9,10,3,2023,27,13,3,2023,18,2,0
FS,4/05/2023,22/05/2023,4,18,5,2023,22,21,5,2023,18,2,0
FS,4/05/2023,22/05/2023,4,18,5,2023,22,21,5,2023,18,2,0
FS,30/06/2023,18/07/2023,30,26,6,2023,18,29,7,2023,18,2,0
FS,30/06/2023,18/07/2023,30,26,6,2023,18,29,7,2023,18,2,0
FS,6/07/2023,24/07/2023,6,27,7,2023,24,30,7,2023,18,2,0
FS,24/08/2023,11/09/2023,24,34,8,2023,11,37,9,2023,18,2,0
FS,25/04/2024,13/05/2024,25,17,4,2024,13,20,5,2024,18,2,0
DS,19/09/2024,7/10/2024,19,38,9,2024,7,41,10,2024,18,2,0
FS,11/10/2024,29/10/2024,11,41,10,2024,29,44,10,2024,18,2,0
FS,11/10/2024,29/10/2024,11,41,10,2024,29,44,10,2024,18,2,0
FS,7/11/2024,25/11/2024,7,45,11,2024,25,48,11,2024,18,2,0
FS,23/08/2023,11/09/2023,23,34,8,2023,11,37,9,2023,19,2,0
FS,29/05/2024,17/06/2024,29,22,5,2024,17,25,6,2024,19,2,0
FS,9/10/2024,28/10/2024,9,41,10,2024,28,44,10,2024,19,2,0
FS,9/10/2024,28/10/2024,9,41,10,2024,28,44,10,2024,19,2,0
FS,10/10/2024,29/10/2024,10,41,10,2024,29,44,10,2024,19,2,0
CS,6/11/2024,25/11/2024,6,45,11,2024,25,48,11,2024,19,2,0
FS,24/01/2023,13/02/2023,24,4,1,2023,13,7,2,2023,20,2,0
FS,7/03/2023,27/03/2023,7,10,3,2023,27,13,3,2023,20,2,0
FS,4/07/2023,24/07/2023,4,27,7,2023,24,30,7,2023,20,2,0
FS,22/08/2023,11/09/2023,22,34,8,2023,11,37,9,2023,20,2,0
FS,13/02/2024,4/03/2024,13,7,2,2024,4,10,3,2024,20,2,0
DS,12/03/2024,1/04/2024,12,11,3,2024,1,14,4,2024,20,2,0
FS,26/03/2024,15/04/2024,26,13,3,2024,15,16,4,2024,20,2,0
FS,23/04/2024,13/05/2024,23,17,4,2024,13,20,5,2024,20,2,0
FS,7/05/2024,27/05/2024,7,19,5,2024,27,22,5,2024,20,2,0
DS,17/09/2024,7/10/2024,17,38,9,2024,7,41,10,2024,20,2,0
FS,3/01/2023,24/01/2023,3,1,1,2023,24,4,1,2023,21,2,0
FS,13/02/2023,6/03/2023,13,7,2,2023,6,10,3,2023,21,2,0
FS,25/09/2023,16/10/2023,25,39,9,2023,16,42,10,2023,21,3,0
FS,2/10/2023,23/10/2023,2,40,10,2023,23,43,10,2023,21,3,0
DS,30/10/2023,20/11/2023,30,44,10,2023,20,47,11,2023,21,3,0
FS,31/10/2023,21/11/2023,31,44,10,2023,21,47,11,2023,21,3,0
FS,6/02/2024,27/02/2024,6,6,2,2024,27,9,2,2024,21,3,0
FS,1/04/2024,22/04/2024,1,14,4,2024,22,17,4,2024,21,3,0
FS,1/04/2024,22/04/2024,1,14,4,2024,22,17,4,2024,21,3,0
FS,13/05/2024,3/06/2024,13,20,5,2024,3,23,6,2024,21,3,0
DS,16/09/2024,7/10/2024,16,38,9,2024,7,41,10,2024,21,3,0
FS,7/10/2024,28/10/2024,7,41,10,2024,28,44,10,2024,21,3,0
FS,4/11/2024,25/11/2024,4,45,11,2024,25,48,11,2024,21,3,0
FS,11/11/2024,2/12/2024,11,46,11,2024,2,49,12,2024,21,3,0
FS,2/01/2023,24/01/2023,2,1,1,2023,24,4,1,2023,22,3,0
FS,31/03/2024,22/04/2024,31,14,3,2024,22,17,4,2024,22,3,0
FS,29/04/2023,22/05/2023,29,17,4,2023,22,21,5,2023,23,3,0
DS,27/01/2024,19/02/2024,27,4,1,2024,19,8,2,2024,23,3,0
DS,9/03/2024,1/04/2024,9,10,3,2024,1,14,4,2024,23,3,0
FS,20/01/2023,13/02/2023,20,3,1,2023,13,7,2,2023,24,3,0
FS,30/06/2023,24/07/2023,30,26,6,2023,24,30,7,2023,24,3,0
FS,30/06/2023,24/07/2023,30,26,6,2023,24,30,7,2023,24,3,0
FS,22/09/2023,16/10/2023,22,38,9,2023,16,42,10,2023,24,3,0
FS,29/12/2023,22/01/2024,29,52,12,2023,22,4,1,2024,24,3,0
FS,19/01/2024,12/02/2024,19,3,1,2024,12,7,2,2024,24,3,0
FS,8/03/2024,1/04/2024,8,10,3,2024,1,14,4,2024,24,3,0
FS,10/05/2024,3/06/2024,10,19,5,2024,3,23,6,2024,24,3,0
DS,26/10/2023,20/11/2023,26,43,10,2023,20,47,11,2023,25,3,0
FS,17/11/2023,12/12/2023,17,46,11,2023,12,50,12,2023,25,3,0
FS,2/02/2024,27/02/2024,2,5,2,2024,27,9,2,2024,25,3,0
FS,19/04/2024,14/05/2024,19,16,4,2024,14,20,5,2024,25,3,0
FS,31/10/2024,25/11/2024,31,44,10,2024,25,48,11,2024,25,3,0
FS,15/11/2023,11/12/2023,15,46,11,2023,11,50,12,2023,26,3,0
FS,1/02/2024,27/02/2024,1,5,2,2024,27,9,2,2024,26,3,0
FS,7/02/2024,4/03/2024,7,6,2,2024,4,10,3,2024,26,3,0
FS,18/04/2024,14/05/2024,18,16,4,2024,14,20,5,2024,26,3,0
FS,22/05/2024,17/06/2024,22,21,5,2024,17,25,6,2024,26,3,0
FS,22/05/2024,17/06/2024,22,21,5,2024,17,25,6,2024,26,3,0
FS,6/11/2024,2/12/2024,6,45,11,2024,2,49,12,2024,26,3,0
FS,6/11/2024,2/12/2024,6,45,11,2024,2,49,12,2024,26,3,0
FS,28/02/2023,27/03/2023,28,9,2,2023,27,13,3,2023,27,3,0
FS,28/03/2023,24/04/2023,28,13,3,2023,24,17,4,2023,27,3,0
FS,27/06/2023,24/07/2023,27,26,6,2023,24,30,7,2023,27,3,0
FS,6/02/2024,4/03/2024,6,6,2,2024,4,10,3,2024,27,3,0
FS,6/02/2024,4/03/2024,6,6,2,2024,4,10,3,2024,27,3,0
FS,5/03/2024,1/04/2024,5,10,3,2024,1,14,4,2024,27,3,0
FS,25/06/2024,22/07/2024,25,26,6,2024,22,30,7,2024,27,3,0
FS,10/09/2024,7/10/2024,10,37,9,2024,7,41,10,2024,27,3,0
FS,1/10/2024,28/10/2024,1,40,10,2024,28,44,10,2024,27,3,0
DS,22/10/2024,18/11/2024,22,43,10,2024,18,47,11,2024,27,3,0
FS,5/11/2024,2/12/2024,5,45,11,2024,2,49,12,2024,27,3,0
FS,5/11/2024,2/12/2024,5,45,11,2024,2,49,12,2024,27,3,0
FS,5/11/2024,2/12/2024,5,45,11,2024,2,49,12,2024,27,3,0
FS,5/11/2024,2/12/2024,5,45,11,2024,2,49,12,2024,27,3,0
FS,5/11/2024,2/12/2024,5,45,11,2024,2,49,12,2024,27,3,0
FS,6/02/2023,6/03/2023,6,6,2,2023,6,10,3,2023,28,3,0
FS,27/02/2023,27/03/2023,27,9,2,2023,27,13,3,2023,28,3,0
FS,29/05/2023,26/06/2023,29,22,5,2023,26,26,6,2023,28,3,0
FS,15/01/2024,12/02/2024,15,3,1,2024,12,7,2,2024,28,4,0
FS,15/01/2024,12/02/2024,15,3,1,2024,12,7,2,2024,28,4,0
DS,22/01/2024,19/02/2024,22,4,1,2024,19,8,2,2024,28,4,0
FS,5/02/2024,4/03/2024,5,6,2,2024,4,10,3,2024,28,4,0
FS,5/02/2024,4/03/2024,5,6,2,2024,4,10,3,2024,28,4,0
DS,4/03/2024,1/04/2024,4,10,3,2024,1,14,4,2024,28,4,0
FS,25/03/2024,22/04/2024,25,13,3,2024,22,17,4,2024,28,4,0
FS,29/04/2024,27/05/2024,29,18,4,2024,27,22,5,2024,28,4,0
FS,29/04/2024,27/05/2024,29,18,4,2024,27,22,5,2024,28,4,0
FS,20/05/2024,17/06/2024,20,21,5,2024,17,25,6,2024,28,4,0
FS,20/05/2024,17/06/2024,20,21,5,2024,17,25,6,2024,28,4,0
FS,16/09/2024,14/10/2024,16,38,9,2024,14,42,10,2024,28,4,0
FS,30/09/2024,28/10/2024,30,40,9,2024,28,44,10,2024,28,4,0
FS,4/11/2024,2/12/2024,4,45,11,2024,2,49,12,2024,28,4,0
FS,4/11/2024,2/12/2024,4,45,11,2024,2,49,12,2024,28,4,0
FS,4/11/2024,2/12/2024,4,45,11,2024,2,49,12,2024,28,4,0
FS,13/11/2023,12/12/2023,13,46,11,2023,12,50,12,2023,29,4,0
FS,24/02/2023,27/03/2023,24,8,2,2023,27,13,3,2023,31,4,1
FS,21/04/2023,22/05/2023,21,16,4,2023,22,21,5,2023,31,4,1
FS,21/04/2023,22/05/2023,21,16,4,2023,22,21,5,2023,31,4,1
DS,29/12/2023,29/01/2024,29,52,12,2023,29,5,1,2024,31,4,1
FS,12/01/2024,12/02/2024,12,2,1,2024,12,7,2,2024,31,4,1
DS,19/01/2024,19/02/2024,19,3,1,2024,19,8,2,2024,31,4,1
DS,19/01/2024,19/02/2024,19,3,1,2024,19,8,2,2024,31,4,1
FS,1/03/2024,1/04/2024,1,9,3,2024,1,14,4,2024,31,4,1
FS,5/04/2024,6/05/2024,5,14,4,2024,6,19,5,2024,31,4,1
FS,5/04/2024,6/05/2024,5,14,4,2024,6,19,5,2024,31,4,1
FS,5/04/2024,6/05/2024,5,14,4,2024,6,19,5,2024,31,4,1
FS,5/04/2024,6/05/2024,5,14,4,2024,6,19,5,2024,31,4,1
FS,26/04/2024,27/05/2024,26,17,4,2024,27,22,5,2024,31,4,1
FS,26/04/2024,27/05/2024,26,17,4,2024,27,22,5,2024,31,4,1
FS,3/05/2024,3/06/2024,3,18,5,2024,3,23,6,2024,31,4,1
FS,3/05/2024,3/06/2024,3,18,5,2024,3,23,6,2024,31,4,1
FS,17/05/2024,17/06/2024,17,20,5,2024,17,25,6,2024,31,4,1
FS,17/05/2024,17/06/2024,17,20,5,2024,17,25,6,2024,31,4,1
FS,17/05/2024,17/06/2024,17,20,5,2024,17,25,6,2024,31,4,1
CS,25/10/2024,25/11/2024,25,43,10,2024,25,48,11,2024,31,4,1
FS,25/10/2024,25/11/2024,25,43,10,2024,25,48,11,2024,31,4,1
FS,12/01/2023,13/02/2023,12,2,1,2023,13,7,2,2023,32,4,1
FS,23/03/2023,24/04/2023,23,12,3,2023,24,17,4,2023,32,4,1
FS,20/04/2023,22/05/2023,20,16,4,2023,22,21,5,2023,32,4,1
FS,25/05/2023,26/06/2023,25,21,5,2023,26,26,6,2023,32,4,1
FS,14/09/2023,16/10/2023,14,37,9,2023,16,42,10,2023,32,4,1
FS,26/10/2023,27/11/2023,26,43,10,2023,27,48,11,2023,32,4,1
FS,26/10/2023,27/11/2023,26,43,10,2023,27,48,11,2023,32,4,1
FS,10/11/2023,12/12/2023,10,45,11,2023,12,50,12,2023,32,4,1
DS,28/12/2023,29/01/2024,28,52,12,2023,29,5,1,2024,32,4,1
DS,18/01/2024,19/02/2024,18,3,1,2024,19,8,2,2024,32,4,1
DS,29/02/2024,1/04/2024,29,9,2,2024,1,14,4,2024,32,4,1
FS,21/03/2024,22/04/2024,21,12,3,2024,22,17,4,2024,32,4,1
FS,2/05/2024,3/06/2024,2,18,5,2024,3,23,6,2024,32,4,1
FS,16/05/2024,17/06/2024,16,20,5,2024,17,25,6,2024,32,4,1
FS,22/08/2024,23/09/2024,22,34,8,2024,23,39,9,2024,32,4,1
FS,12/09/2024,14/10/2024,12,37,9,2024,14,42,10,2024,32,4,1
FS,26/09/2024,28/10/2024,26,39,9,2024,28,44,10,2024,32,4,1
DS,17/10/2024,18/11/2024,17,42,10,2024,18,47,11,2024,32,4,1
CS,24/10/2024,25/11/2024,24,43,10,2024,25,48,11,2024,32,4,1
FS,31/10/2024,2/12/2024,31,44,10,2024,2,49,12,2024,32,4,1
FS,31/10/2024,2/12/2024,31,44,10,2024,2,49,12,2024,32,4,1
FS,31/10/2024,2/12/2024,31,44,10,2024,2,49,12,2024,32,4,1
DS,7/11/2024,9/12/2024,7,45,11,2024,9,50,12,2024,32,4,1
DS,7/11/2024,9/12/2024,7,45,11,2024,9,50,12,2024,32,4,1
DS,26/04/2023,29/05/2023,26,17,4,2023,29,22,5,2023,33,4,1
DS,30/08/2023,2/10/2023,30,35,8,2023,2,40,10,2023,33,4,1
FS,13/09/2023,16/10/2023,13,37,9,2023,16,42,10,2023,33,4,1
DS,18/10/2023,20/11/2023,18,42,10,2023,20,47,11,2023,33,4,1
FS,21/08/2024,23/09/2024,21,34,8,2024,23,39,9,2024,33,4,1
FS,25/09/2024,28/10/2024,25,39,9,2024,28,44,10,2024,33,4,1
FS,25/09/2024,28/10/2024,25,39,9,2024,28,44,10,2024,33,4,1
DS,16/10/2024,18/11/2024,16,42,10,2024,18,47,11,2024,33,4,1
CS,23/10/2024,25/11/2024,23,43,10,2024,25,48,11,2024,33,4,1
FS,23/10/2024,25/11/2024,23,43,10,2024,25,48,11,2024,33,4,1
FS,31/01/2023,6/03/2023,31,5,1,2023,6,10,3,2023,34,4,1
FS,21/03/2023,24/04/2023,21,12,3,2023,24,17,4,2023,34,4,1
FS,21/03/2023,24/04/2023,21,12,3,2023,24,17,4,2023,34,4,1
FS,8/08/2023,11/09/2023,8,32,8,2023,11,37,9,2023,34,4,1
FS,22/08/2023,25/09/2023,22,34,8,2023,25,39,9,2023,34,4,1
FS,8/11/2023,12/12/2023,8,45,11,2023,12,50,12,2023,34,4,1
FS,8/11/2023,12/12/2023,8,45,11,2023,12,50,12,2023,34,4,1
FS,12/12/2023,15/01/2024,12,50,12,2023,15,3,1,2024,34,4,1
DS,16/01/2024,19/02/2024,16,3,1,2024,19,8,2,2024,34,4,1
FS,24/01/2024,27/02/2024,24,4,1,2024,27,9,2,2024,34,4,1
FS,30/01/2024,4/03/2024,30,5,1,2024,4,10,3,2024,34,4,1
FS,2/04/2024,6/05/2024,2,14,4,2024,6,19,5,2024,34,4,1
FS,2/04/2024,6/05/2024,2,14,4,2024,6,19,5,2024,34,4,1
FS,2/04/2024,6/05/2024,2,14,4,2024,6,19,5,2024,34,4,1
FS,9/04/2024,13/05/2024,9,15,4,2024,13,20,5,2024,34,4,1
FS,23/04/2024,27/05/2024,23,17,4,2024,27,22,5,2024,34,4,1
FS,30/04/2024,3/06/2024,30,18,4,2024,3,23,6,2024,34,4,1
FS,14/05/2024,17/06/2024,14,20,5,2024,17,25,6,2024,34,4,1
DS,3/09/2024,7/10/2024,3,36,9,2024,7,41,10,2024,34,4,1
FS,24/09/2024,28/10/2024,24,39,9,2024,28,44,10,2024,34,4,1
FS,24/09/2024,28/10/2024,24,39,9,2024,28,44,10,2024,34,4,1
FS,25/09/2024,29/10/2024,25,39,9,2024,29,44,10,2024,34,4,1
FS,29/10/2024,2/12/2024,29,44,10,2024,2,49,12,2024,34,4,1
FS,9/01/2023,13/02/2023,9,2,1,2023,13,7,2,2023,35,4,1
FS,30/01/2023,6/03/2023,30,5,1,2023,6,10,3,2023,35,4,1
FS,30/01/2023,6/03/2023,30,5,1,2023,6,10,3,2023,35,4,1
FS,30/01/2023,6/03/2023,30,5,1,2023,6,10,3,2023,35,4,1
FS,20/02/2023,27/03/2023,20,8,2,2023,27,13,3,2023,35,4,1
FS,17/04/2023,22/05/2023,17,16,4,2023,22,21,5,2023,35,4,1
FS,11/09/2023,16/10/2023,11,37,9,2023,16,42,10,2023,35,5,1
DS,16/10/2023,20/11/2023,16,42,10,2023,20,47,11,2023,35,5,1
FS,23/10/2023,27/11/2023,23,43,10,2023,27,48,11,2023,35,5,1
FS,18/12/2023,22/01/2024,18,51,12,2023,22,4,1,2024,35,5,1
FS,8/01/2024,12/02/2024,8,2,1,2024,12,7,2,2024,35,5,1
FS,29/01/2024,4/03/2024,29,5,1,2024,4,10,3,2024,35,5,1
FS,26/02/2024,1/04/2024,26,9,2,2024,1,14,4,2024,35,5,1
FS,26/02/2024,1/04/2024,26,9,2,2024,1,14,4,2024,35,5,1
FS,26/02/2024,1/04/2024,26,9,2,2024,1,14,4,2024,35,5,1
FS,18/03/2024,22/04/2024,18,12,3,2024,22,17,4,2024,35,5,1
FS,18/03/2024,22/04/2024,18,12,3,2024,22,17,4,2024,35,5,1
FS,8/04/2024,13/05/2024,8,15,4,2024,13,20,5,2024,35,5,1
FS,22/04/2024,27/05/2024,22,17,4,2024,27,22,5,2024,35,5,1
FS,22/04/2024,27/05/2024,22,17,4,2024,27,22,5,2024,35,5,1
FS,22/04/2024,27/05/2024,22,17,4,2024,27,22,5,2024,35,5,1
FS,2/09/2024,7/10/2024,2,36,9,2024,7,41,10,2024,35,5,1
FS,2/09/2024,7/10/2024,2,36,9,2024,7,41,10,2024,35,5,1
FS,9/09/2024,14/10/2024,9,37,9,2024,14,42,10,2024,35,5,1
FS,9/09/2024,14/10/2024,9,37,9,2024,14,42,10,2024,35,5,1
FS,9/09/2024,14/10/2024,9,37,9,2024,14,42,10,2024,35,5,1
FS,23/09/2024,28/10/2024,23,39,9,2024,28,44,10,2024,35,5,1
FS,24/09/2024,29/10/2024,24,39,9,2024,29,44,10,2024,35,5,1
DS,14/10/2024,18/11/2024,14,42,10,2024,18,47,11,2024,35,5,1
DS,14/10/2024,18/11/2024,14,42,10,2024,18,47,11,2024,35,5,1
CS,21/10/2024,25/11/2024,21,43,10,2024,25,48,11,2024,35,5,1
FS,21/10/2024,25/11/2024,21,43,10,2024,25,48,11,2024,35,5,1
FS,28/10/2024,2/12/2024,28,44,10,2024,2,49,12,2024,35,5,1
DS,4/11/2024,9/12/2024,4,45,11,2024,9,50,12,2024,35,5,1
DS,4/11/2024,9/12/2024,4,45,11,2024,9,50,12,2024,35,5,1
FS,8/04/2024,14/05/2024,8,15,4,2024,14,20,5,2024,36,5,1
FS,4/11/2023,11/12/2023,4,44,11,2023,11,50,12,2023,37,5,1
FS,6/01/2024,12/02/2024,6,1,1,2024,12,7,2,2024,37,5,1
FS,20/04/2024,27/05/2024,20,16,4,2024,27,22,5,2024,37,5,1
FS,27/01/2023,6/03/2023,27,4,1,2023,6,10,3,2023,38,5,1
FS,19/05/2023,26/06/2023,19,20,5,2023,26,26,6,2023,38,5,1
FS,19/05/2023,26/06/2023,19,20,5,2023,26,26,6,2023,38,5,1
FS,4/08/2023,11/09/2023,4,31,8,2023,11,37,9,2023,38,5,1
FS,3/11/2023,11/12/2023,3,44,11,2023,11,50,12,2023,38,5,1
DS,12/01/2024,19/02/2024,12,2,1,2024,19,8,2,2024,38,5,1
FS,26/01/2024,4/03/2024,26,4,1,2024,4,10,3,2024,38,5,1
FS,23/02/2024,1/04/2024,23,8,2,2024,1,14,4,2024,38,5,1
FS,19/04/2024,27/05/2024,19,16,4,2024,27,22,5,2024,38,5,1
DS,31/05/2024,8/07/2024,31,22,5,2024,8,28,7,2024,38,5,1
FS,30/08/2024,7/10/2024,30,35,8,2024,7,41,10,2024,38,5,1
FS,30/08/2024,7/10/2024,30,35,8,2024,7,41,10,2024,38,5,1
FS,30/08/2024,7/10/2024,30,35,8,2024,7,41,10,2024,38,5,1
FS,6/09/2024,14/10/2024,6,36,9,2024,14,42,10,2024,38,5,1
FS,20/09/2024,28/10/2024,20,38,9,2024,28,44,10,2024,38,5,1
DS,11/10/2024,18/11/2024,11,41,10,2024,18,47,11,2024,38,5,1
FS,18/10/2024,25/11/2024,18,42,10,2024,25,48,11,2024,38,5,1
FS,18/10/2024,25/11/2024,18,42,10,2024,25,48,11,2024,38,5,1
FS,25/10/2024,2/12/2024,25,43,10,2024,2,49,12,2024,38,5,1
FS,26/01/2023,6/03/2023,26,4,1,2023,6,10,3,2023,39,5,1
FS,16/02/2023,27/03/2023,16,7,2,2023,27,13,3,2023,39,5,1
FS,16/02/2023,27/03/2023,16,7,2,2023,27,13,3,2023,39,5,1
FS,3/03/2023,11/04/2023,3,9,3,2023,11,15,4,2023,39,5,1
FS,13/04/2023,22/05/2023,13,15,4,2023,22,21,5,2023,39,5,1
FS,2/11/2023,11/12/2023,2,44,11,2023,11,50,12,2023,39,5,1
FS,3/11/2023,12/12/2023,3,44,11,2023,12,50,12,2023,39,5,1
FS,14/12/2023,22/01/2024,14,50,12,2023,22,4,1,2024,39,5,1
FS,4/01/2024,12/02/2024,4,1,1,2024,12,7,2,2024,39,5,1
FS,4/01/2024,12/02/2024,4,1,1,2024,12,7,2,2024,39,5,1
FS,14/03/2024,22/04/2024,14,11,3,2024,22,17,4,2024,39,5,1
FS,14/03/2024,22/04/2024,14,11,3,2024,22,17,4,2024,39,5,1
FS,29/08/2024,7/10/2024,29,35,8,2024,7,41,10,2024,39,5,1
FS,29/08/2024,7/10/2024,29,35,8,2024,7,41,10,2024,39,5,1
FS,5/09/2024,14/10/2024,5,36,9,2024,14,42,10,2024,39,5,1
FS,19/09/2024,28/10/2024,19,38,9,2024,28,44,10,2024,39,5,1
CS,17/10/2024,25/11/2024,17,42,10,2024,25,48,11,2024,39,5,1
FS,17/10/2024,25/11/2024,17,42,10,2024,25,48,11,2024,39,5,1
FS,24/10/2024,2/12/2024,24,43,10,2024,2,49,12,2024,39,5,1
FS,24/10/2024,2/12/2024,24,43,10,2024,2,49,12,2024,39,5,1
DS,31/10/2024,9/12/2024,31,44,10,2024,9,50,12,2024,39,5,1
FS,12/10/2023,21/11/2023,12,41,10,2023,21,47,11,2023,40,5,1
FS,1/11/2023,11/12/2023,1,44,11,2023,11,50,12,2023,40,5,1
FS,3/01/2024,12/02/2024,3,1,1,2024,12,7,2,2024,40,5,1
FS,18/01/2024,27/02/2024,18,3,1,2024,27,9,2,2024,40,5,1
FS,21/02/2024,1/04/2024,21,8,2,2024,1,14,4,2024,40,5,1
FS,27/03/2024,6/05/2024,27,13,3,2024,6,19,5,2024,40,5,1
FS,3/04/2024,13/05/2024,3,14,4,2024,13,20,5,2024,40,5,1
FS,17/04/2024,27/05/2024,17,16,4,2024,27,22,5,2024,40,5,1
FS,24/04/2024,3/06/2024,24,17,4,2024,3,23,6,2024,40,5,1
FS,28/08/2024,7/10/2024,28,35,8,2024,7,41,10,2024,40,5,1
FS,28/08/2024,7/10/2024,28,35,8,2024,7,41,10,2024,40,5,1
CS,11/09/2024,21/10/2024,11,37,9,2024,21,43,10,2024,40,5,1
FS,18/09/2024,28/10/2024,18,38,9,2024,28,44,10,2024,40,5,1
FS,16/10/2024,25/11/2024,16,42,10,2024,25,48,11,2024,40,5,1
FS,16/10/2024,25/11/2024,16,42,10,2024,25,48,11,2024,40,5,1
FS,3/01/2023,13/02/2023,3,1,1,2023,13,7,2,2023,41,5,1
FS,14/03/2023,24/04/2023,14,11,3,2023,24,17,4,2023,41,5,1
FS,15/08/2023,25/09/2023,15,33,8,2023,25,39,9,2023,41,5,1
FS,17/10/2023,27/11/2023,17,42,10,2023,27,48,11,2023,41,5,1
FS,20/02/2024,1/04/2024,20,8,2,2024,1,14,4,2024,41,5,1
FS,5/03/2024,15/04/2024,5,10,3,2024,15,16,4,2024,41,5,1
FS,12/03/2024,22/04/2024,12,11,3,2024,22,17,4,2024,41,5,1
FS,26/03/2024,6/05/2024,26,13,3,2024,6,19,5,2024,41,5,1
FS,7/05/2024,17/06/2024,7,19,5,2024,17,25,6,2024,41,5,1
FS,11/06/2024,22/07/2024,11,24,6,2024,22,30,7,2024,41,5,1
FS,6/08/2024,16/09/2024,6,32,8,2024,16,38,9,2024,41,5,1
FS,3/09/2024,14/10/2024,3,36,9,2024,14,42,10,2024,41,5,1
FS,3/09/2024,14/10/2024,3,36,9,2024,14,42,10,2024,41,5,1
FS,17/09/2024,28/10/2024,17,38,9,2024,28,44,10,2024,41,5,1
FS,15/10/2024,25/11/2024,15,42,10,2024,25,48,11,2024,41,5,1
FS,22/10/2024,2/12/2024,22,43,10,2024,2,49,12,2024,41,5,1
FS,28/02/2023,11/04/2023,28,9,2,2023,11,15,4,2023,42,5,1
FS,28/02/2023,11/04/2023,28,9,2,2023,11,15,4,2023,42,5,1
FS,31/07/2023,11/09/2023,31,31,7,2023,11,37,9,2023,42,6,1
FS,4/09/2023,16/10/2023,4,36,9,2023,16,42,10,2023,42,6,1
DS,8/01/2024,19/02/2024,8,2,1,2024,19,8,2,2024,42,6,1
FS,16/01/2024,27/02/2024,16,3,1,2024,27,9,2,2024,42,6,1
FS,19/02/2024,1/04/2024,19,8,2,2024,1,14,4,2024,42,6,1
FS,4/03/2024,15/04/2024,4,10,3,2024,15,16,4,2024,42,6,1
FS,4/03/2024,15/04/2024,4,10,3,2024,15,16,4,2024,42,6,1
FS,4/03/2024,15/04/2024,4,10,3,2024,15,16,4,2024,42,6,1
FS,4/03/2024,15/04/2024,4,10,3,2024,15,16,4,2024,42,6,1
DS,15/04/2024,27/05/2024,15,16,4,2024,27,22,5,2024,42,6,1
FS,22/04/2024,3/06/2024,22,17,4,2024,3,23,6,2024,42,6,1
