Program,buy_date,cohort_start_date,cohort_name,day_sale,week_sale,month_sale,year_sale,day_start,week_start,month_start,year_start,days_to_start,week_dif,month_dif,null_month,one_month,two_month,three_month,four_month,five_month,six_month,seven_month,eigth_month
FS,19/01/2024,5/02/2024,spain-fs-pt-61,19,3,1,2024,5,6,2,2024,17,2,0,0,0,1,0,0,0,0,0,0
FS,26/01/2023,13/02/2023,spain-fs-pt-38,26,4,1,2023,13,7,2,2023,18,2,0,0,0,1,0,0,0,0,0,0
FS,26/01/2023,13/02/2023,spain-fs-pt-38,26,4,1,2023,13,7,2,2023,18,2,0,0,0,1,0,0,0,0,0,0
FS,24/01/2023,13/02/2023,spain-fs-pt-38,24,4,1,2023,13,7,2,2023,20,2,0,0,0,1,0,0,0,0,0,0
FS,3/01/2023,24/01/2023,spain-fs-pt-37,3,1,1,2023,24,4,1,2023,21,2,0,0,0,1,0,0,0,0,0,0
FS,2/01/2023,24/01/2023,spain-fs-pt-37,2,1,1,2023,24,4,1,2023,22,3,0,0,0,0,1,0,0,0,0,0
DS,27/01/2024,19/02/2024,spain-ds-pt-6,27,4,1,2024,19,8,2,2024,23,3,0,0,0,0,1,0,0,0,0,0
FS,20/01/2023,13/02/2023,spain-fs-pt-38,20,3,1,2023,13,7,2,2023,24,3,0,0,0,0,1,0,0,0,0,0
FS,19/01/2024,12/02/2024,spain-fs-pt-62,19,3,1,2024,12,7,2,2024,24,3,0,0,0,0,1,0,0,0,0,0
FS,15/01/2024,12/02/2024,spain-fs-pt-62,15,3,1,2024,12,7,2,2024,28,4,0,0,0,0,0,1,0,0,0,0
FS,15/01/2024,12/02/2024,spain-fs-pt-62,15,3,1,2024,12,7,2,2024,28,4,0,0,0,0,0,1,0,0,0,0
DS,22/01/2024,19/02/2024,spain-ds-pt-6,22,4,1,2024,19,8,2,2024,28,4,0,0,0,0,0,1,0,0,0,0
FS,12/01/2024,12/02/2024,spain-fs-pt-62,12,2,1,2024,12,7,2,2024,31,4,1,0,0,0,0,1,0,0,0,0
DS,19/01/2024,19/02/2024,spain-ds-pt-6,19,3,1,2024,19,8,2,2024,31,4,1,0,0,0,0,1,0,0,0,0
DS,19/01/2024,19/02/2024,spain-ds-pt-6,19,3,1,2024,19,8,2,2024,31,4,1,0,0,0,0,1,0,0,0,0
FS,12/01/2023,13/02/2023,spain-fs-pt-38,12,2,1,2023,13,7,2,2023,32,4,1,0,0,0,0,1,0,0,0,0
DS,18/01/2024,19/02/2024,spain-ds-pt-6,18,3,1,2024,19,8,2,2024,32,4,1,0,0,0,0,1,0,0,0,0
FS,31/01/2023,6/03/2023,spain-fs-pt-39,31,5,1,2023,6,10,3,2023,34,4,1,0,0,0,0,1,0,0,0,0
DS,16/01/2024,19/02/2024,spain-ds-pt-6,16,3,1,2024,19,8,2,2024,34,4,1,0,0,0,0,1,0,0,0,0
FS,24/01/2024,27/02/2024,spain-fs-pt-63,24,4,1,2024,27,9,2,2024,34,4,1,0,0,0,0,1,0,0,0,0
FS,30/01/2024,4/03/2024,spain-fs-pt-64,30,5,1,2024,4,10,3,2024,34,4,1,0,0,0,0,1,0,0,0,0
FS,9/01/2023,13/02/2023,spain-fs-pt-38,9,2,1,2023,13,7,2,2023,35,4,1,0,0,0,0,1,0,0,0,0
FS,30/01/2023,6/03/2023,spain-fs-pt-39,30,5,1,2023,6,10,3,2023,35,4,1,0,0,0,0,1,0,0,0,0
FS,30/01/2023,6/03/2023,spain-fs-pt-39,30,5,1,2023,6,10,3,2023,35,4,1,0,0,0,0,1,0,0,0,0
FS,30/01/2023,6/03/2023,spain-fs-pt-39,30,5,1,2023,6,10,3,2023,35,4,1,0,0,0,0,1,0,0,0,0
FS,8/01/2024,12/02/2024,spain-fs-pt-62,8,2,1,2024,12,7,2,2024,35,5,1,0,0,0,0,0,1,0,0,0
FS,29/01/2024,4/03/2024,spain-fs-pt-65,29,5,1,2024,4,10,3,2024,35,5,1,0,0,0,0,0,1,0,0,0
FS,6/01/2024,12/02/2024,spain-fs-pt-62,6,1,1,2024,12,7,2,2024,37,5,1,0,0,0,0,0,1,0,0,0
FS,27/01/2023,6/03/2023,spain-fs-pt-39,27,4,1,2023,6,10,3,2023,38,5,1,0,0,0,0,0,1,0,0,0
DS,12/01/2024,19/02/2024,spain-ds-pt-6,12,2,1,2024,19,8,2,2024,38,5,1,0,0,0,0,0,1,0,0,0
FS,26/01/2024,4/03/2024,spain-fs-pt-65,26,4,1,2024,4,10,3,2024,38,5,1,0,0,0,0,0,1,0,0,0
FS,26/01/2023,6/03/2023,spain-fs-pt-39,26,4,1,2023,6,10,3,2023,39,5,1,0,0,0,0,0,1,0,0,0
FS,4/01/2024,12/02/2024,spain-fs-pt-62,4,1,1,2024,12,7,2,2024,39,5,1,0,0,0,0,0,1,0,0,0
FS,4/01/2024,12/02/2024,spain-fs-pt-62,4,1,1,2024,12,7,2,2024,39,5,1,0,0,0,0,0,1,0,0,0
